1,Geronimo Rulli,Ajax ,a,4
2,Jay Gorter,Ajax ,a,4
3,Owen Wijndal ,Ajax ,b,3
4,Jorrel Hato,Ajax ,b,4
5,Devyne Rensch,Ajax ,b,4
6,Jakov Medic,Ajax ,b,4
7,Ahmetcan Kaplan,Ajax ,b,4
8,Anass Salah-Eddine,Ajax ,b,3
9,,Ajax ,b,
10,Benjamin Tahirovic,Ajax ,c,4
11,Victor Jensen ,Ajax ,c,3
12,Mohammed Kudus,Ajax ,c,5
13,Davy Klaaasen ,Ajax ,c,3
14,Kian Fitz-Jim ,Ajax ,c,4
15,Kenneth Taylor,Ajax ,c,4
16,Bramco van der Boomen ,Ajax ,c,4
17,,Ajax ,c,
18,Steven Berghuis,Ajax ,d,4
19,Carlos Forbes,Ajax ,d,4
20,Brian Brobbey ,Ajax ,d,4
21,Steven Bergwijn,Ajax ,d,5
22,Francisco Conceicao,Ajax ,d,4
23,Chupa Akpom,Ajax ,d,4
24,,Ajax ,d,
25,Maurice Steijn,Ajax ,Coach ,
26,Nordin Bakker,Almere,a,3
27,Stijn Keller,Almere,a,3
28,Damien van Bruggen,Almere,b,3
29,Hamdi Akujobi,Almere,b,2
30,Joey Jacobs,Almere,b,2
31,Manel Royo,Almere,b,2
32,Theo Barbet,Almere,b,2
33,Thomas Poll,Almere,b,2
34,,Almere,b,
35,Alvaro Pena,Almere,c,3
36,Danny Post,Almere,c,3
37,Peer Kopmeiners,Almere,c,3
38,Mailan Corryn,Almere,c,2
39,Lance Duijvestijn,Almere,c,2
40,Marcelencio Esajas,Almere,c,2
41,José Seva,Almere,c,2
42,Jochem Ritmeester v/d kamp,Almere,c,2
43,,Almere,c,
44,Anthony Limbombe,Almere,d,2
45,Jeredy Hilterman,Almere,d,2
46,Rajiv van La Parra,Almere,d,2
47,Thomas Robinet,Almere,d,2
48,Kornelius Hansen,Almere,d,2
49,Bradly van Hoeven ,Almere,d,2
50,Alex Pastoors,Almere,Coach,
51,Mathew Ryan ,AZ,a,3
52,Sam Westerveld,AZ,a,3
53,Pantelis Hatzidiakos,AZ,b,4
54,Bruno Martins Indi,AZ,b,3
55,Yukinari Sugawara,AZ,b,3
